************ Run 215_4He - pearson coefficient ***********
Evt. 51270   P.coefficient (R): 0.93523
Evt. 51320   P.coefficient (R): 0.698589
Evt. 51408   P.coefficient (R): 0.987316
Evt. 51450   P.coefficient (R): 0.988712
Evt. 51488   P.coefficient (R): 0.881832
Evt. 51605   P.coefficient (R): 0.98915
Evt. 51804   P.coefficient (R): 0.990728
Evt. 51869   P.coefficient (R): 0.856895
Evt. 51904   P.coefficient (R): 0.991884
Evt. 52027   P.coefficient (R): 0.964541
Evt. 52157   P.coefficient (R): 0.993198
Evt. 52160   P.coefficient (R): 0.958932
Evt. 52338   P.coefficient (R): 0.990386
Evt. 52346   P.coefficient (R): 0.995168
Evt. 52454   P.coefficient (R): 0.989447
Evt. 52596   P.coefficient (R): 0.9958
Evt. 52671   P.coefficient (R): 0.991136
Evt. 52695   P.coefficient (R): 0.786248
Evt. 52710   P.coefficient (R): 0.883776
