************ Run 76_4He - theta-discrepancies > 0°.2 ***********
  Evt: 52422   theta_fit: 53.0469   theta_deg: 52.8025
  Evt: 52566   theta_fit: 53.2132   theta_deg: 52.9128
  Evt: 52580   theta_fit: 54.1079   theta_deg: 53.7533
  Evt: 52649   theta_fit: 54.2006   theta_deg: 53.9808
  Evt: 52659   theta_fit: 53.3651   theta_deg: 53.1201
  Evt: 52864   theta_fit: 51.9466   theta_deg: 51.7092
  Evt: 52892   theta_fit: 54.971   theta_deg: 54.613
  Evt: 52899   theta_fit: 55.554   theta_deg: 55.3462
  Evt: 53007   theta_fit: 54.2045   theta_deg: 53.7805
  Evt: 53008   theta_fit: 52.229   theta_deg: 51.8752
  Evt: 53119   theta_fit: 53.9599   theta_deg: 53.7393
  Evt: 53120   theta_fit: 53.9771   theta_deg: 53.6118
  Evt: 53372   theta_fit: 57.5849   theta_deg: 57.1365
  Evt: 53556   theta_fit: 48.8425   theta_deg: 48.54
  Evt: 53660   theta_fit: 56.0945   theta_deg: 55.8735
  Evt: 54109   theta_fit: 53.1416   theta_deg: 52.8644
  Evt: 54324   theta_fit: 50.2208   theta_deg: 49.7596
  Evt: 54399   theta_fit: 50.603   theta_deg: 50.3372
  Evt: 54561   theta_fit: 54.4231   theta_deg: 54.1221
  Evt: 54649   theta_fit: 53.6617   theta_deg: 53.2114
  Evt: 54877   theta_fit: 53.529   theta_deg: 53.1178
  Evt: 55003   theta_fit: 52.6127   theta_deg: 52.2676
  Evt: 55012   theta_fit: 51.5543   theta_deg: 51.1289
  Evt: 55098   theta_fit: 54.1483   theta_deg: 53.8748
  Evt: 55205   theta_fit: 56.0265   theta_deg: 55.6512
  Evt: 55426   theta_fit: 52.7842   theta_deg: 52.5516
  Evt: 55460   theta_fit: 57.3355   theta_deg: 57.0861
  Evt: 55653   theta_fit: 53.4338   theta_deg: 53.089
  Evt: 55700   theta_fit: 53.0925   theta_deg: 52.7451
  Evt: 56121   theta_fit: 53.7028   theta_deg: 52.7672
  Evt: 56197   theta_fit: 51.8196   theta_deg: 51.525
  Evt: 56507   theta_fit: 54.5608   theta_deg: 54.3525
  Evt: 56544   theta_fit: 53.1522   theta_deg: 52.7332
  Evt: 56751   theta_fit: 53.418   theta_deg: 52.9628
  Evt: 56834   theta_fit: 53.3854   theta_deg: 53.1228
  Evt: 56873   theta_fit: 50.6814   theta_deg: 50.216
  Evt: 56971   theta_fit: 55.2573   theta_deg: 54.3059
  Evt: 57132   theta_fit: 56.7808   theta_deg: 56.5635
  Evt: 57137   theta_fit: 43.7687   theta_deg: 42.9764
  Evt: 57202   theta_fit: 54.682   theta_deg: 54.2921
  Evt: 57288   theta_fit: 58.1375   theta_deg: 57.933
  Evt: 57326   theta_fit: 52.5453   theta_deg: 52.2979
  Evt: 57837   theta_fit: 56.667   theta_deg: 56.4577
  Evt: 57846   theta_fit: 55.9295   theta_deg: 55.6391
  Evt: 57927   theta_fit: 54.0421   theta_deg: 53.6345
  Evt: 58001   theta_fit: 54.1267   theta_deg: 53.8258
  Evt: 58506   theta_fit: 55.2285   theta_deg: 54.7633
  Evt: 58549   theta_fit: 50.9927   theta_deg: 50.6309
  Evt: 58777   theta_fit: 56.9991   theta_deg: 56.7437
  Evt: 58962   theta_fit: 51.9936   theta_deg: 51.5413
  Evt: 59084   theta_fit: 51.7309   theta_deg: 51.4241
  Evt: 59268   theta_fit: 56.0398   theta_deg: 55.6978
  Evt: 59279   theta_fit: 56.7642   theta_deg: 56.4631
  Evt: 59673   theta_fit: 55.7919   theta_deg: 55.4593
  Evt: 59736   theta_fit: 51.9162   theta_deg: 51.6226
  Evt: 59765   theta_fit: 56.4809   theta_deg: 56.2675
  Evt: 60253   theta_fit: 54.5364   theta_deg: 54.267
  Evt: 60458   theta_fit: 53.0525   theta_deg: 52.8144
  Evt: 60876   theta_fit: 53.9591   theta_deg: 53.7503
  Evt: 60903   theta_fit: 53.8392   theta_deg: 53.5614
  Evt: 60934   theta_fit: 51.5793   theta_deg: 51.3171
  Evt: 61132   theta_fit: 53.1386   theta_deg: 52.835
  Evt: 61211   theta_fit: 56.7096   theta_deg: 56.5038
  Evt: 61252   theta_fit: 52.6114   theta_deg: 52.3073
  Evt: 61412   theta_fit: 55.6922   theta_deg: 55.3204
  Evt: 61620   theta_fit: 52.257   theta_deg: 51.8312
  Evt: 61671   theta_fit: 56.0508   theta_deg: 55.3955
